E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_53_167.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_53_167.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_53_167.jpg, 0, 0, 0, 7.912493E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_53_295.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_53_295.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_53_295.jpg, 0, 0, 0, 7.979792E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_53_400.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_53_400.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_53_400.jpg, 0, 0, 0, 8.007581E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_53_529.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_53_529.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_53_529.jpg, 0, 0, 0, 7.931151E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_53_636.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_53_636.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_53_636.jpg, 0, 0, 0, 7.962096E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_53_767.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_53_767.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_53_767.jpg, 0, 0, 0, 7.939936E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_53_869.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_53_869.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_53_869.jpg, 0, 0, 0, 8.028423E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_53_998.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_53_998.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_53_998.jpg, 0, 0, 0, 8.251698E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_54_107.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_54_107.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_54_107.jpg, 0, 0, 0, 7.978657E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_54_246.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_54_246.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_54_246.jpg, 0, 0, 0, 7.968123E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_54_355.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_54_355.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_54_355.jpg, 0, 0, 0, 7.951256E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_54_484.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_54_484.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_54_484.jpg, 0, 0, 0, 8.157733E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_54_589.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_54_589.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_54_589.jpg, 0, 0, 0, 7.937037E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_54_726.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_54_726.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_54_726.jpg, 0, 0, 0, 7.938755E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_54_835.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_54_835.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_54_835.jpg, 0, 0.3188688, 0, 0.2508799
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_54_963.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_54_963.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_54_963.jpg, -0.3831102, 0.701979, 0, 1.237729
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_55_069.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_55_069.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_55_069.jpg, -0.05160689, 1, 0, 2.529024
E:\colleage\ARL\persiption\data_set\IMG\center_2023_09_28_14_06_55_197.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2023_09_28_14_06_55_197.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2023_09_28_14_06_55_197.jpg, 0, 1, 0, 3.939426
